name,pop,lat,lon,count,percent
New York,8537673,40.6943,-73.9249,48,5.56%
Washington,681170,38.9047,-77.0163,44,5.09%
Chicago,2704958,41.8373,-87.6861,33,3.82%
Ontario,173212,34.0393,-117.6064,29,3.36%
San Francisco,870887,37.756100000000004,-122.4429,28,3.24%
Boston,673184,42.3189,-71.0838,28,3.24%
Seattle,704352,47.6217,-122.3238,27,3.12%
Los Angeles,3976322,34.114,-118.4068,25,2.89%
Melbourne,81185,28.1152,-80.653,24,2.78%
Cambridge,110651,42.3758,-71.1184,21,2.43%
Victoria,67670,28.8284,-96.9848,17,1.97%
Portland,639863,45.5372,-122.65,15,1.74%
Baltimore,614664,39.3051,-76.6144,15,1.74%
Edinburg,87650,26.3183,-98.1622,15,1.74%
Dublin,59583,37.7161,-121.8962,14,1.62%
Austin,947890,30.3038,-97.7545,13,1.50%
Durham,263016,35.9801,-78.9045,13,1.50%
Pittsburgh,303625,40.4396,-79.9763,12,1.39%
Columbia,134309,34.0366,-80.9043,12,1.39%
Pittsburg,70679,38.019,-121.897,12,1.39%
Houston,2303482,29.7871,-95.3936,11,1.27%
Atlanta,472522,33.7627,-84.4231,11,1.27%
Dallas,1317929,32.7938,-96.7659,10,1.16%
Madison,252551,43.0809,-89.3921,10,1.16%
Berkeley,121240,37.8723,-122.276,10,1.16%
Philadelphia,1567872,40.0076,-75.134,9,1.04%
Manchester,110506,42.9844,-71.4445,9,1.04%
Raleigh,458880,35.8323,-78.6441,8,0.93%
Tampa,377165,27.9937,-82.4454,8,0.93%
Queens,2333054,40.7498,-73.7976,7,0.81%
Minneapolis,413651,44.9635,-93.2679,7,0.81%
Lincoln,280364,40.8102,-96.6808,7,0.81%
Gary,76424,41.5906,-87.3472,7,0.81%
Davis,68111,38.5552,-121.7365,7,0.81%
Chapel Hill,59246,35.9271,-79.0387,7,0.81%
Oakland,420005,37.7903,-122.2165,6,0.69%
Vancouver,174826,45.6352,-122.5972,6,0.69%
Gainesville,131591,29.6814,-82.3454,6,0.69%
Ann Arbor,120782,42.2757,-83.7312,6,0.69%
State College,41992,40.791,-77.8568,6,0.69%
Denver,693060,39.7621,-104.8759,5,0.58%
Milwaukee,595047,43.064,-87.9669,5,0.58%
Birmingham,212157,33.5276,-86.7986,5,0.58%
Lansing,116020,42.7142,-84.5598,5,0.58%
San Diego,1406630,32.8312,-117.1225,4,0.46%
Columbus,860090,39.9859,-82.9852,4,0.46%
Charlotte,842051,35.208,-80.8308,4,0.46%
Nashville,660388,36.1714,-86.7844,4,0.46%
Cleveland,385809,41.4766,-81.6805,4,0.46%
Richmond,223170,37.5294,-77.4755,4,0.46%
Salt Lake City,193744,40.7774,-111.9301,4,0.46%
Hampton,135410,37.0551,-76.3629,4,0.46%
Athens,123371,33.9508,-83.3689,4,0.46%
College Station,112141,30.5857,-96.296,4,0.46%
San Jose,1025350,37.302,-121.8488,3,0.35%
Las Vegas,632912,36.2288,-115.2603,3,0.35%
Louisville,616261,38.1662,-85.6488,3,0.35%
Omaha,446970,41.2634,-96.0453,3,0.35%
New Orleans,391495,30.0687,-89.9288,3,0.35%
Irvine,266122,33.6772,-117.7738,3,0.35%
Buffalo,256902,42.9016,-78.8487,3,0.35%
Eugene,166575,44.0562,-123.1172,3,0.35%
Lancaster,160106,34.6934,-118.1753,3,0.35%
Lafayette,127626,30.2097,-92.0314,3,0.35%
Auburn,77472,47.3039,-122.2108,3,0.35%
Iowa City,74398,41.6558,-91.5304,3,0.35%
East Lansing,48870,42.7483,-84.4834,3,0.35%
Charlottesville,46912,38.0374,-78.4856,3,0.35%
Brooklyn,2629150,40.6501,-73.9496,2,0.23%
Manhattan,1643734,40.7834,-73.9662,2,0.23%
Phoenix,1615017,33.5722,-112.0891,2,0.23%
San Antonio,1492510,29.4722,-98.5247,2,0.23%
Jacksonville,880619,30.3322,-81.6749,2,0.23%
Indianapolis,855164,39.7771,-86.1458,2,0.23%
Fort Worth,854113,32.7813,-97.3466,2,0.23%
Albuquerque,559277,35.1055,-106.6476,2,0.23%
Tucson,530706,32.1558,-110.8777,2,0.23%
Kansas City,481420,39.1239,-94.5541,2,0.23%
Staten Island,476015,40.5834,-74.1496,2,0.23%
Miami,453579,25.784,-80.2102,2,0.23%
Arlington,392772,32.6998,-97.1251,2,0.23%
Worcester,184508,42.2705,-71.8079,2,0.23%
Jackson,169148,32.3163,-90.2124,2,0.23%
Sunnyvale,152771,37.3846,-122.0261,2,0.23%
New Haven,129934,41.3112,-72.9245,2,0.23%
Kent,127514,47.3887,-122.2128,2,0.23%
Lawrence,95358,38.9603,-95.2643,2,0.23%
Greenville,91495,35.5958,-77.3764,2,0.23%
Reading,87575,40.34,-75.9266,2,0.23%
Mountain View,80447,37.4001,-122.0796,2,0.23%
Evanston,74895,42.0463,-87.6942,2,0.23%
Flagstaff,71459,35.1867,-111.6175,2,0.23%
Bowling Green,65234,36.9725,-86.4371,2,0.23%
Santa Cruz,64465,36.9788,-122.0346,2,0.23%
Lehi,61130,40.414,-111.8729,2,0.23%
Harrisonburg,53078,38.4362,-78.8735,2,0.23%
Burlington,52709,36.0761,-79.4692,2,0.23%
Olympia,51202,47.0417,-122.8958,2,0.23%
Wauwatosa,47945,43.0616,-88.0347,2,0.23%
West Lafayette,45872,40.4432,-86.9239,2,0.23%
Brighton,38314,39.9719,-104.7958,2,0.23%
Memphis,652717,35.1047,-89.9773,1,0.12%
Oklahoma City,638367,35.4677,-97.5138,1,0.12%
Colorado Springs,465101,38.8673,-104.7605,1,0.12%
Tulsa,403090,36.1284,-95.9037,1,0.12%
Aurora,361710,39.7085,-104.7274,1,0.12%
Riverside,324722,33.9382,-117.3949,1,0.12%
Lexington,318449,38.0423,-84.4587,1,0.12%
Saint Paul,302398,44.9477,-93.104,1,0.12%
Cincinnati,298800,39.1412,-84.506,1,0.12%
Anchorage,298192,61.1508,-149.1091,1,0.12%
Jersey City,264152,40.7161,-74.0683,1,0.12%
Chandler,247477,33.2828,-111.8517,1,0.12%
Spokane,215973,47.6671,-117.433,1,0.12%
Des Moines,215472,41.5725,-93.6104,1,0.12%
Rochester,208880,43.1681,-77.6162,1,0.12%
Fayetteville,204759,35.0847,-78.9777,1,0.12%
Montgomery,200022,32.347,-86.2663,1,0.12%
Little Rock,198541,34.7255,-92.3584,1,0.12%
Augusta,197081,33.3644,-82.0708,1,0.12%
Grand Rapids,196445,42.9615,-85.6557,1,0.12%
Huntsville,193079,34.699,-86.6412,1,0.12%
Tallahassee,190894,30.4549,-84.2527,1,0.12%
Overland Park,188966,38.8871,-94.6871,1,0.12%
Tempe,182498,33.3881,-111.9318,1,0.12%
Providence,179219,41.8229,-71.4186,1,0.12%
Santa Rosa,175155,38.4465,-122.7059,1,0.12%
McKinney,172298,33.1989,-96.6678,1,0.12%
Springfield,167319,37.1943,-93.2916,1,0.12%
Fort Collins,164207,40.5487,-105.0656,1,0.12%
Cary,162320,35.7815,-78.8162,1,0.12%
Pasadena,153351,29.6583,-95.1498,1,0.12%
Rockford,147651,42.2594,-89.0646,1,0.12%
Syracuse,143378,43.0409,-76.1438,1,0.12%
Bellevue,141400,47.5953,-122.155,1,0.12%
Dayton,140489,39.7798,-84.1999,1,0.12%
Waco,134432,31.5597,-97.1882,1,0.12%
Charleston,134385,32.8137,-79.9643,1,0.12%
Denton,133808,33.2165,-97.1411,1,0.12%
Norman,122180,35.2335,-97.3471,1,0.12%
Arvada,117453,39.8321,-105.1508,1,0.12%
Billings,110323,45.7892,-108.5498,1,0.12%
Boulder,108090,40.0274,-105.2514,1,0.12%
Lakeland,106420,28.0556,-81.9542,1,0.12%
Lewisville,104659,33.0453,-96.9823,1,0.12%
Greeley,103990,40.415,-104.7697,1,0.12%
Davie,101871,26.0789,-80.287,1,0.12%
Las Cruces,101759,32.3265,-106.7893,1,0.12%
Albany,98111,42.6664,-73.7987,1,0.12%
Portsmouth,95252,36.8468,-76.354,1,0.12%
Roswell,94598,34.0391,-84.3513,1,0.12%
Livonia,94041,42.3972,-83.3733,1,0.12%
Longmont,92858,40.1691,-105.0995,1,0.12%
Santa Barbara,91930,34.4285,-119.7202,1,0.12%
Edmond,91191,35.6689,-97.4159,1,0.12%
Asheville,89121,35.5703,-82.5536,1,0.12%
Champaign,86637,40.1148,-88.2731,1,0.12%
Bloomington,85319,44.8306,-93.315,1,0.12%
Medford,81636,42.3372,-122.8537,1,0.12%
Warwick,81579,41.7061,-71.4334,1,0.12%
Somerville,81322,42.3908,-71.1013,1,0.12%
Tustin,80395,33.7309,-117.8106,1,0.12%
Alameda,78906,37.767,-122.2673,1,0.12%
Folsom,77271,38.6751,-121.1476,1,0.12%
Warner Robins,74388,32.5981,-83.6528,1,0.12%
Canton,71323,40.8082,-81.3678,1,0.12%
Frederick,70060,39.4334,-77.4154,1,0.12%
Waterloo,67934,42.492,-92.3522,1,0.12%
Georgetown,67140,30.6669,-97.694,1,0.12%
Palo Alto,67024,37.3917,-122.1465,1,0.12%
Rockville,66940,39.0834,-77.1553,1,0.12%
Broomfield,66529,39.9541,-105.0526,1,0.12%
Ames,66191,42.0262,-93.6275,1,0.12%
Wellington,63900,26.6464,-80.2708,1,0.12%
Redmond,62458,47.6776,-122.1176,1,0.12%
Terre Haute,60852,39.4654,-87.3763,1,0.12%
Bristol,60147,41.6812,-72.9407,1,0.12%
Corvallis,57110,44.5697,-123.2781,1,0.12%
New Brunswick,56910,40.487,-74.445,1,0.12%
Highland,54939,34.1113,-117.1653,1,0.12%
Normal,54264,40.522,-88.9877,1,0.12%
Kingsport,52806,36.522,-82.5452,1,0.12%
Grapevine,51971,32.9343,-97.0744,1,0.12%
Plainfield,50636,40.6153,-74.4159,1,0.12%
Cuyahoga Falls,49206,41.1641,-81.5206,1,0.12%
Littleton,46333,39.5912,-105.0193,1,0.12%
Binghamton,45672,42.1014,-75.9092,1,0.12%
Blacksburg,45038,37.23,-80.4277,1,0.12%
DeKalb,43194,41.9299,-88.7478,1,0.12%
Moorhead,42492,46.8674,-96.7457,1,0.12%
Westfield,41552,42.1382,-72.7561,1,0.12%
Florence,39959,34.83,-87.6658,1,0.12%
Marlborough,39697,42.3494,-71.5468,1,0.12%
Annapolis,39418,38.9705,-76.5047,1,0.12%
