word,weighted_score,cluster
dataviz,0.6785190446548095,1
tutorial,0.28124323042739946,1
graphics,0.25931091751775504,1
plots,0.24737650664352745,1
awesome,0.2167579346605334,1
conference,0.2024997738199528,1
maps,0.19978525954316226,1
week,0.1701183035053387,1
stuff,0.12281560377225892,1
london,0.11415788992743302,1
parallel,0.09877975149217513,1
coding,0.0915695674950247,1
beautiful,0.08662934998399695,1
life,0.08180596088222963,1
base,0.08067277232251695,1
package,0.7062229770002015,2
version,0.47768476815745486,2
initial,0.40137280358840344,2
cran,0.3237231454057624,2
install,0.023563465931849454,2
released,0.01902123786107635,2
hadleywickham,0.017236415940512256,2
analysis,0.01678465201325372,2
updated,0.016102999879528047,2
github,0.015619348530051915,2
model,0.015586592782805738,2
check,0.014948628075293386,2
functions,0.014784824187885705,2
release,0.01313572711975097,2
time,0.012539463691595094,2
code,0.9429901703818754,3
line,0.16115742912685677,3
read,0.1342240950498396,3
file,0.09187385374544718,3
write,0.0809790713956531,3
text,0.07307119390060444,3
script,0.06993311656486857,3
writing,0.06523035117790428,3
makes,0.06076619177716987,3
data,0.05957804569456173,3
faster,0.048192949965688785,3
files,0.04574903414918881,3
reading,0.03906512636719232,3
days,0.035734207104520674,3
datascience,0.03235504333403155,3
rstudio,0.6468814296876506,4
shiny,0.5164521058206673,4
learn,0.1654145216561487,4
statistical,0.15365592730698494,4
software,0.14762756992092174,4
easy,0.14309934030930097,4
free,0.14043735745614586,4
workshop,0.1387834492909493,4
functions,0.12190065608627774,4
server,0.11036759839356632,4
interactive,0.1070237492937334,4
revolutionr,0.09843534484334693,4
rmarkdown,0.09413246492661673,4
webinar,0.08902880147380524,4
posted,0.08724092649771202,4
user,0.3601923942483477,5
time,0.24442064677595213,5
function,0.22437663248217382,5
tidyverse,0.22370487343786247,5
meetup,0.2154568283663211,5
hadleywickham,0.20322929967304373,5
model,0.20250612687421016,5
cmastication,0.1787855560750332,5
revodavid,0.15669498363287196,5
programming,0.14830279105710986,5
talk,0.14019184982055444,5
learning,0.13692448585045705,5
nice,0.13205684464794865,5
ggplot,0.12609505769502702,5
plot,0.12363528461923325,5
post,0.7220142195186025,6
blog,0.6259143609787603,6
idea,0.11877931948053691,6
chart,0.10090149832690849,6
link,0.09674644591599821,6
latex,0.08644441046818395,6
methods,0.07900908859756334,6
cloud,0.07789497908780298,6
examples,0.06433774923937927,6
ropensci,0.056326546188017336,6
data,0.04764621847896471,6
package,0.03393327887819925,6
features,0.03271869556963972,6
nice,0.029143209208999026,6
check,0.027056061989503527,6
datascience,0.7668764404918283,7
python,0.3068473205766042,7
bigdata,0.27559408189118256,7
statistics,0.220799953017928,7
analytics,0.21470635422916304,7
machinelearning,0.20179824520228976,7
rbloggers,0.19914154674474327,7
datamining,0.0638103717270206,7
abdsc,0.061123264035382506,7
learning,0.06026393659044572,7
hadoop,0.058991117119131575,7
deeplearning,0.05004920835284683,7
programming,0.049747108419217395,7
rlang,0.04808233542192852,7
learn,0.041551147612821596,7
article,0.71608332106284,8
published,0.6399701136187862,8
kindly,0.23254331270089945,8
revolutions,0.07760808022588966,8
data,0.0678040250051733,8
blog,0.055044012914694594,8
package,0.02782901347482812,8
analysis,0.02628172355620267,8
plotting,0.023901647694599022,8
statistics,0.023817899256657678,8
portfolio,0.022484765506355513,8
user,0.01836200018864754,8
science,0.018263420322699876,8
model,0.016871611650347278,8
language,0.016480771740419876,8
data,0.9223281943639479,9
analysis,0.2740374360201538,9
science,0.12211173232770028,9
datascience,0.09160361141232477,9
package,0.07368329726818876,9
visualization,0.07076862215828296,9
analytics,0.05432586080741799,9
mining,0.0537798602623585,9
python,0.05250268441658416,9
excel,0.0514047311179892,9
missing,0.0336736312024225,9
time,0.031086648681415512,9
bigdata,0.029905040617406013,9
spatial,0.02951769701933086,9
statistics,0.02733131283124828,9
update,0.779681545170485,10
cran,0.6227020959442192,10
removals,0.06049910379285741,10
release,0.013270270737734175,10
rcpp,0.009922093857436996,10
matrix,0.008181165719093893,10
package,0.005788956486535596,10
twitter,0.005262668134131883,10
time,0.0038285745051133153,10
github,0.003760749585434616,10
updated,0.0035393275912651927,10
ropensci,0.0032533063353102527,10
follow,0.0030001513716667897,10
released,0.002976077873417662,10
network,0.0029235563422193678,10
