answer,year,proportion
Always wrong,1973,69.7
Almost always,1973,6.5
Sometimes wrong,1973,7.4
Not wrong at all,1973,10.7
Do not know,1973,5.8
Always wrong,1974,66.1
Almost always,1974,5.3
Sometimes wrong,1974,8.1
Not wrong at all,1974,12.3
Do not know,1974,8.2
Always wrong,1976,67.1
Almost always,1976,6
Sometimes wrong,1976,7.6
Not wrong at all,1976,14.8
Do not know,1976,4.4
Always wrong,1977,69.4
Almost always,1977,5.6
Sometimes wrong,1977,7.2
Not wrong at all,1977,13.1
Do not know,1977,4.9
Always wrong,1980,70.6
Almost always,1980,5.8
Sometimes wrong,1980,5.7
Not wrong at all,1980,13.6
Do not know,1980,4.4
Always wrong,1982,71
Almost always,1982,4.8
Sometimes wrong,1982,6.2
Not wrong at all,1982,13.5
Do not know,1982,4.5
Always wrong,1984,72.1
Almost always,1984,4.3
Sometimes wrong,1984,6.8
Not wrong at all,1984,12.8
Do not know,1984,4
Always wrong,1985,73.3
Almost always,1985,4
Sometimes wrong,1985,6.8
Not wrong at all,1985,12.7
Do not know,1985,3.2
Always wrong,1987,75
Almost always,1987,4
Sometimes wrong,1987,6.1
Not wrong at all,1987,11.6
Do not know,1987,3.3
Always wrong,1988,74.6
Almost always,1988,4.3
Sometimes wrong,1988,5.3
Not wrong at all,1988,12.2
Do not know,1988,3.6
Always wrong,1989,70.8
Almost always,1989,3.8
Sometimes wrong,1989,6
Not wrong at all,1989,14.6
Do not know,1989,4.8
Always wrong,1990,72.8
Almost always,1990,4.7
Sometimes wrong,1990,5.5
Not wrong at all,1990,12.3
Do not know,1990,4.7
Always wrong,1991,72.1
Almost always,1991,3.5
Sometimes wrong,1991,3.7
Not wrong at all,1991,13.8
Do not know,1991,6.8
Always wrong,1993,62.2
Almost always,1993,3.9
Sometimes wrong,1993,7.3
Not wrong at all,1993,20.7
Do not know,1993,6
Always wrong,1994,63.7
Almost always,1994,3.5
Sometimes wrong,1994,5.5
Not wrong at all,1994,21.5
Do not know,1994,5.8
Always wrong,1996,56.6
Almost always,1996,4.7
Sometimes wrong,1996,5.5
Not wrong at all,1996,25.9
Do not know,1996,7.3
Always wrong,1998,54.3
Almost always,1998,5.5
Sometimes wrong,1998,6.8
Not wrong at all,1998,26.2
Do not know,1998,7.2
Always wrong,2000,53.7
Almost always,2000,4.1
Sometimes wrong,2000,7.4
Not wrong at all,2000,26.4
Do not know,2000,8.4
Always wrong,2002,53.5
Almost always,2002,4.9
Sometimes wrong,2002,7.1
Not wrong at all,2002,30.4
Do not know,2002,4.1
Always wrong,2004,56.4
Almost always,2004,4.7
Sometimes wrong,2004,6.7
Not wrong at all,2004,29.1
Do not know,2004,3.1
Always wrong,2006,53.4
Almost always,2006,4.6
Sometimes wrong,2006,6.4
Not wrong at all,2006,30.7
Do not know,2006,5.1
Always wrong,2008,49.2
Almost always,2008,2.9
Sometimes wrong,2008,6.3
Not wrong at all,2008,35.5
Do not know,2008,6.2
Always wrong,2010,43.5
Almost always,2010,3.4
Sometimes wrong,2010,7.5
Not wrong at all,2010,40.6
Do not know,2010,4.9
